species,habit
ACMI2,F
ACNE9,PG
ACTH7,PG
AGGL,F
ALLIUM,F
AMSIN,F
ANLU2,F
ARAR8,F
ARSO2,S
ARTRV,F
ASTRA,S
BASA3,F
BRJA,F
BRTE,AG
CADO2,AG
CAEX14,PG
CHDO,F
CHJU,F
CHVI8,F
CIAR4,S
CIUN,F
CRAC2,F
CROC,F
DAUN,F
ELEL5,F
ERBL,PG
ERC16,PG
ERHE2,F
ERLA,F
ERNA10,F
EROV,F
ERPU2,S
ERTH4,F
ERUM,F
GERAN,F
IVAX,F
LAOC3,F
LASE,F
LECI4,F
LIRU4,F
LONU2,F
LOTR,F
LUPIN,F
LUPIN2,PG
LUPIN3,F
MACA2,F
MADIA,F
MADIA2,F
MEBU,F
NABR,F
PHHA,F
PHLO2,F
POBU,F
POSE,PG
PSSP6,F
PUTR2,F
SEIN2,F
SIAL2,PG
TETRA3,AG
TRDU,AG
UNK1,PG
UNK5,S
UnkCrepis,F
UnkPoa,F
UnkSage,S
UnkThistle,F
ZIPA2,F
